,Month,TB96805000
0,2016-01-01,8
1,2016-02-01,22
2,2016-03-01,37
3,2016-04-01,106
4,2016-05-01,313
5,2016-06-01,149
6,2016-07-01,135
7,2016-08-01,150
8,2016-09-01,101
9,2016-10-01,167
10,2016-11-01,0
11,2016-12-01,160
12,2017-01-01,112
13,2017-02-01,15
14,2017-03-01,23
15,2017-04-01,336
16,2017-05-01,309
17,2017-06-01,2
18,2017-07-01,8
19,2017-08-01,57
20,2017-09-01,605
21,2017-10-01,137
22,2017-11-01,350
23,2017-12-01,83
24,2018-01-01,362
25,2018-02-01,606
26,2018-03-01,162
27,2018-04-01,561
28,2018-05-01,306
29,2018-06-01,300
30,2018-07-01,233
31,2018-08-01,154
32,2018-09-01,205
33,2018-10-01,700
34,2018-11-01,7
35,2018-12-01,106
36,2019-01-01,199
37,2019-02-01,138
38,2019-03-01,9
39,2019-04-01,125
40,2019-05-01,690
41,2019-06-01,215
42,2019-07-01,1717
43,2019-08-01,407
44,2019-09-01,222
45,2019-10-01,71
46,2019-11-01,955
47,2019-12-01,66
48,2020-01-01,1202
49,2020-02-01,68
50,2020-03-01,12
51,2020-04-01,64
52,2020-05-01,63
53,2020-06-01,679
54,2020-07-01,1441
55,2020-08-01,7
56,2020-09-01,355
57,2020-10-01,4
58,2020-11-01,8
59,2020-12-01,1080
60,2021-01-01,0
61,2021-02-01,270
62,2021-03-01,738
63,2021-04-01,685
64,2021-05-01,706
65,2021-06-01,120
66,2021-07-01,0
67,2021-08-01,3127
68,2021-09-01,0
69,2021-10-01,0
70,2021-11-01,0
71,2021-12-01,0
